scenario_time,value,rolling_avg
0.25115,0.0,0.0
0.298713,2.429249,1.2146245
0.323102,3.643778,2.0243423333333332
0.353506,3.452159,2.3812965
0.390585,3.265686,2.5581744
0.423306,3.08528,2.6460253333333337
0.456799,2.912064,2.684030857142857
0.490211,2.747401,2.6919521250000003
0.523336,2.592937,2.6809504444444445
0.556696,2.450629,2.6579183
0.591086,2.322752,2.6274486363636367
0.623292,2.211865,2.5928166666666668
0.656789,2.120703,2.556500230769231
0.688736,2.051982,2.5204632142857144
0.718953,2.577745,2.524282
0.756801,2.382599,2.5154268125
0.791042,2.194798,2.4965662941176467
0.823228,2.016517,2.4698968888888886
0.856969,1.850659,2.4373054210526313
0.890059,1.701041,2.4004922
0.922266,1.572518,2.3610648571428574
0.956649,1.470876,2.3206017272727273
0.991083,1.402253,2.2806735217391307
1.022968,2.086322,2.2725755416666664
1.056632,1.862688,2.2561800400000003
1.089982,1.64299,2.2325958076923076
1.123215,1.429378,2.202847
1.156632,1.22545,2.1679399642857144
1.191654,1.037454,2.1289576896551723
1.22323,0.876359,2.0872044
1.256643,0.760272,2.044400129032258
1.290024,0.712463,2.00277709375
1.323258,1.654145,1.9922124848484846
1.356638,1.405658,1.974960882352941
1.390849,1.156159,1.9515665428571427
1.423158,0.905617,1.922512388888889
1.456585,0.654004,1.8882283783783784
1.489986,0.401295,1.8490985526315789
1.523151,0.147537,1.8054687692307692
1.556532,0.10795,1.7630308
1.590837,2.502087,1.7810565609756097
1.623097,2.274909,1.7928149523809522
1.656552,2.053289,1.798872488372093
1.689977,1.839738,1.79980125
1.72319,1.638001,1.7962056888888889
1.756495,1.453697,1.788759847826087
1.790718,1.295097,1.7782563829787235
1.823058,1.173599,1.7656593541666668
1.856691,2.026102,1.7709745102040815
1.889907,1.760573,1.77076648
1.923069,1.494423,1.7653479803921568
1.956642,1.228239,1.7550189615384615
1.991079,0.963299,1.7400808490566038
2.02271,0.70287,1.7208732407407408
2.056738,0.457725,1.697906909090909
2.090057,0.277838,1.6725485357142857
2.12313,1.732738,1.67360449122807
2.156566,1.471711,1.6701235689655172
2.190387,1.219085,1.662478847457627
2.223256,2.027053,1.6685550833333334
2.256588,1.800334,1.670715393442623
2.28995,1.591142,1.669431951612903
2.322926,1.408479,1.6652898412698411
2.356445,1.265236,1.659039
2.389982,2.005459,1.6643685384615383
2.423212,1.710087,1.6650612424242424
2.456589,1.413369,1.6613046417910449
2.489943,1.115911,1.6532841470588235
2.52317,0.819262,1.6411968695652175
2.556616,0.528565,1.6253021285714284
2.589908,0.271877,1.6062398028169014
2.623222,0.242906,1.587304611111111
2.656559,1.513268,1.586290410958904
2.690181,2.188511,1.594428527027027
2.723318,1.906722,1.59859244
2.756388,1.635463,1.5990775789473686
2.789779,1.382627,1.5962665324675325
2.823145,1.162369,1.5907037435897438
2.8565,0.998977,1.5832135316455695
2.889773,1.762554,1.5854552874999999
2.923094,1.430133,1.5835377283950618
2.956711,1.095765,1.577589280487805
2.991262,0.7604,1.5677436265060243
3.022047,0.42813,1.5541767976190475
