joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_HIT,signal_detection_NONE,signal_detection_MISS
3.5,-4.75,14.744434,1,1,-57,1,-57,0,0,0,0,0,0,0,0,5,3,5,5,0,0,0,1,0
-3.25,2.75,9.050547,1,1,-58,1,-58,0,0,0,0,0,0,0,0,6,4,6,6,0,0,0,1,0
-3.25,3.0,13.453026,1,1,-59,1,-59,0,0,0,0,0,0,0,0,7,5,5,7,0,0,0,1,0
-3.25,3.0,18.058955,1,1,-60,1,-60,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-3.25,3.0,22.666955,1,1,-61,1,-61,0,0,0,0,0,0,0,0,5,7,5,7,0,0,0,1,0
-3.25,3.0,27.275431,1,1,-62,1,-62,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-2.75,0.0,31.8837,1,1,-63,1,-63,0,0,0,0,0,0,0,0,7,7,3,5,0,0,0,1,0
-1.25,-4.25,33.756792,1,1,-64,1,-64,0,0,0,0,0,0,0,0,6,6,4,4,0,0,0,1,0
-1.25,-4.25,31.433956,1,1,-65,1,-65,0,0,0,0,0,0,0,0,7,5,5,3,0,0,0,1,0
-1.25,-4.25,29.327744,1,1,-66,1,-66,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,1,0
-1.0,-4.25,27.488864,1,1,-67,1,-67,0,0,0,0,0,0,0,0,5,5,5,3,0,0,0,1,0
-1.0,-4.5,25.762201,1,1,-68,1,-68,0,0,0,0,0,0,0,0,4,6,6,4,0,0,0,1,0
1.75,-3.5,24.288404,1,1,-69,1,-69,0,0,0,0,0,0,0,0,5,5,7,3,0,0,0,1,0
1.75,-3.5,20.990375,1,1,-70,1,-70,0,0,0,0,0,0,0,0,4,4,6,4,0,0,0,1,0
1.75,-3.5,17.822027,1,1,-71,1,-71,0,0,0,0,0,0,0,0,3,5,7,3,0,0,0,1,0
1.75,-3.5,14.867085,1,1,-72,1,-72,0,0,0,0,0,0,0,0,4,6,6,4,0,0,0,1,0
1.75,-3.5,12.281283,1,1,-73,1,-73,0,0,0,0,0,0,0,0,5,7,7,5,0,0,0,1,0
1.75,-3.5,10.346089,1,1,-74,1,-74,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,1,0
1.75,-3.0,9.470126,1,1,-75,1,-75,0,0,0,0,0,0,0,0,5,5,5,3,0,0,0,1,0
-0.5,-1.5,9.504993,1,1,-76,1,-76,0,0,0,0,0,0,0,0,4,4,6,4,0,0,0,1,0
-0.5,-1.25,9.97996,1,1,-77,1,-77,0,0,0,0,0,0,0,0,3,5,5,3,0,0,0,1,0
-0.75,-1.0,10.256954,1,1,-78,1,-78,0,0,0,0,0,0,0,0,4,6,4,4,0,0,0,1,0
-0.75,-0.75,10.425695,1,1,-79,1,-79,0,0,0,0,0,0,0,0,3,5,5,3,0,0,0,1,0
-0.75,-0.75,10.371483,1,1,-80,1,-80,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,1,0
-0.75,-0.75,10.320689,1,1,-81,1,-81,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,1,0
-0.75,-0.75,10.273358,1,1,-82,1,-82,0,0,0,0,0,0,0,0,4,4,4,6,0,0,0,1,0
-0.75,-0.75,10.229533,1,1,-83,1,-83,0,0,0,0,0,0,0,0,5,5,3,7,0,0,0,1,0
-0.75,-0.75,10.18926,1,1,-84,1,-84,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-0.75,-0.75,10.152581,1,1,-85,1,-85,0,0,0,0,0,0,0,0,5,7,3,7,0,0,0,1,0
-0.75,-0.75,10.119538,1,1,-86,1,-86,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-0.75,-0.75,10.090173,1,1,-87,1,-87,0,0,0,0,0,0,0,0,5,7,3,7,0,0,0,1,0
-0.75,-0.75,10.064527,1,1,-88,1,-88,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-0.75,-0.75,10.042638,1,1,-89,1,-89,0,0,0,0,0,0,0,0,7,7,5,7,0,0,0,1,0
-0.75,-0.75,10.024547,1,1,-90,1,-90,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-0.75,-0.75,10.01029,1,1,-91,1,-91,0,0,0,0,0,0,0,0,7,7,5,7,0,0,0,1,0
-0.75,-0.75,9.999904,1,1,-92,1,-92,0,0,0,0,0,0,0,0,6,6,4,6,0,0,0,1,0
-0.75,-0.75,9.993426,1,1,-93,1,-93,0,0,0,0,0,0,0,0,5,7,5,7,0,0,0,1,0
-0.75,-0.75,9.990888,1,1,-94,1,-94,0,0,0,0,0,0,0,0,4,6,4,6,0,0,0,1,0
-0.75,-0.75,9.992326,1,1,-95,1,-95,0,0,0,0,0,0,0,0,3,7,3,5,0,0,0,1,0
-0.75,-0.75,9.99777,1,1,-96,1,-96,0,0,0,0,0,0,0,0,9,6,4,6,0,0,0,1,0
-0.75,-0.75,10.007251,1,1,-97,1,-97,0,0,0,0,0,0,0,0,10,7,5,5,0,0,0,1,0
-0.75,-0.75,10.020801,1,1,-98,1,-98,0,0,0,0,0,0,0,0,9,6,6,4,0,0,0,1,0
-0.75,-0.75,10.038447,1,1,-99,1,-99,0,0,0,0,0,0,0,0,10,5,7,3,0,0,0,1,0
-0.75,-0.75,10.060216,1,1,-100,1,-100,0,0,0,0,0,0,0,0,9,4,6,4,0,0,0,1,0
-0.75,-0.75,10.086136,1,1,-101,1,-101,0,0,0,0,0,0,0,0,8,3,7,3,0,0,0,1,0
-0.75,-0.75,10.11623,1,1,-102,1,-102,0,0,0,0,0,0,0,0,9,4,6,4,0,0,0,1,0
-0.75,-0.75,10.150524,1,1,-103,1,-103,0,0,0,0,0,0,0,0,8,3,5,5,0,0,0,1,0
-0.75,-0.75,10.189041,1,1,-104,1,-104,0,0,0,0,0,0,0,0,9,4,6,6,0,0,0,1,0
-0.75,-0.75,10.231801,1,1,-105,1,-105,0,0,0,0,0,0,0,0,10,5,7,7,0,0,0,1,0
-0.75,-0.75,10.278827,1,1,-106,1,-106,0,0,0,0,0,0,0,0,9,4,6,6,0,0,0,1,0
-0.75,-0.75,10.330139,1,1,-107,1,-107,0,0,0,0,0,0,0,0,10,3,5,7,0,0,0,1,0
-0.75,-0.75,10.385755,1,1,-108,1,-108,0,0,0,0,0,0,0,0,9,4,6,6,0,0,0,1,0
-0.75,-0.75,10.445694,1,1,-109,1,-109,0,0,0,0,0,0,0,0,8,5,7,7,0,0,0,1,0
-0.75,-0.75,10.509974,1,1,-110,1,-110,0,0,0,0,0,0,0,0,9,6,6,6,0,0,0,1,0
