222719.078043,0.067203,aoi,resman,foreground,"(576, 486.0, 1632, 0.0)"
222719.078968,0.067203,aoi,resman,overdue,"(576, 486.0, 1632, 0.0)"
222719.097574,0.067203,aoi,resman,task_title,"(576, 540.0, 1632, 486.0)"
222719.098903,0.067203,aoi,resman,automode,"(1006.848, 309.15000000000003, 1165.248, 282.15000000000003)"
222719.099988,0.067203,aoi,resman,status_foreground,"(1632, 486.0, 1920, 0.0)"
222719.104619,0.067203,aoi,resman,status_title,"(1632, 540.0, 1920, 486.0)"
222719.130525,0.067203,aoi,resman,pump_1_flow,"(1632, 486.0, 1920, 432.0)"
222719.133504,0.067203,aoi,resman,pump_2_flow,"(1632, 432.00000000000006, 1920, 378.00000000000006)"
222719.135957,0.067203,aoi,resman,pump_3_flow,"(1632, 378.00000000000006, 1920, 324.00000000000006)"
222719.138071,0.067203,aoi,resman,pump_4_flow,"(1632, 324.0, 1920, 270.0)"
222719.140128,0.067203,aoi,resman,pump_5_flow,"(1632, 270.0, 1920, 216.0)"
222719.142323,0.067203,aoi,resman,pump_6_flow,"(1632, 216.00000000000003, 1920, 162.00000000000003)"
222719.143967,0.067203,aoi,resman,pump_7_flow,"(1632, 161.99999999999997, 1920, 107.99999999999997)"
222719.145712,0.067203,aoi,resman,pump_8_flow,"(1632, 107.99999999999999, 1920, 53.999999999999986)"
222719.147653,0.067203,aoi,resman,tank_a,"(723.84, 437.4, 882.24, 267.3)"
222719.149546,0.067203,aoi,resman,tank_b,"(1251.8400000000001, 437.4, 1410.2400000000002, 267.3)"
222719.151193,0.067203,aoi,resman,tank_c,"(628.8, 243.0, 734.4, 72.89999999999999)"
222719.153156,0.067203,aoi,resman,tank_d,"(1156.8000000000002, 243.0, 1262.4, 72.89999999999999)"
222719.154559,0.067203,aoi,resman,tank_e,"(892.8, 243.0, 1019.52, 72.89999999999999)"
222719.156325,0.067203,aoi,resman,tank_f,"(1420.8000000000002, 243.0, 1547.5200000000002, 72.89999999999999)"
