joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_HIT,signal_detection_MISS
-0.5,-7.75,1.394005,1,1,-8,1,-8,0,0,0,0,0,0,0,0,6,4,6,4,0,0,1,0,0
-0.5,-7.75,5.431251,1,1,-9,1,-9,0,0,0,0,0,0,0,0,7,5,5,3,0,0,1,0,0
-0.5,-7.75,12.255446,1,1,-10,1,-10,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
-0.5,-7.75,19.080102,1,1,-11,1,-11,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
0.0,-7.5,25.905173,1,1,-12,1,-12,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0
0.75,-5.5,32.505944,1,1,-13,1,-13,0,0,0,0,0,0,0,0,3,3,5,5,0,0,1,0,0
0.5,-2.5,37.178164,1,1,-14,1,-14,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0
-2.25,6.0,38.875527,1,1,-15,1,-15,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
-2.5,6.25,31.826068,1,1,-16,1,-16,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,0,0
-2.5,6.25,24.531033,1,1,-17,1,-17,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
-2.5,6.25,17.310871,1,1,-18,1,-18,0,0,0,0,0,0,0,0,6,4,6,6,0,0,1,0,0
-2.0,4.75,10.322838,1,1,-19,1,-19,0,0,0,0,0,0,0,0,5,3,7,5,0,0,1,0,0
-1.5,3.5,5.486438,1,1,-20,1,-20,0,0,0,0,0,0,0,0,6,4,6,6,0,0,1,0,0
-1.5,3.5,3.9274,1,1,-21,1,-21,0,0,0,0,0,0,0,0,5,5,7,7,0,0,1,0,0
-1.5,3.5,6.400773,1,1,-22,1,-22,0,0,0,0,0,0,0,0,4,6,6,6,0,0,1,0,0
-1.5,3.5,10.330498,1,1,-23,1,-23,0,0,0,0,0,0,0,0,3,7,5,5,0,0,1,0,0
-1.5,3.5,14.582635,1,1,-24,1,-24,0,0,0,0,0,0,0,0,4,6,4,6,0,0,1,0,0
-1.5,3.5,18.940744,1,1,-25,1,-25,0,0,0,0,0,0,0,0,5,7,5,7,0,0,1,0,0
-0.5,1.25,23.345099,1,1,-26,1,-26,0,0,0,0,0,0,0,0,6,6,4,6,0,0,1,0,0
0.5,-0.75,25.328869,1,1,-27,1,-27,0,0,0,0,0,0,0,0,5,5,3,7,0,0,1,0,0
0.5,-1.0,25.157143,1,1,-28,1,-28,0,0,0,0,0,0,0,0,4,6,4,6,0,0,1,0,0
0.5,-1.0,24.803583,1,1,-29,1,-29,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
0.5,-1.0,24.510077,1,1,-30,1,-30,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0
0.5,-1.0,24.278689,1,1,-31,1,-31,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0
0.5,-1.0,24.111092,1,1,-32,1,-32,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0
0.5,-1.0,24.008503,1,1,-33,1,-33,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0
0.5,-1.0,23.971632,1,1,-34,1,-34,0,0,0,0,0,0,0,0,4,6,4,4,0,0,1,0,0
-1.5,-1.0,24.000655,1,1,-35,1,-35,0,0,0,0,0,0,0,0,5,5,5,3,0,0,1,0,0
-1.75,-1.0,23.835886,1,1,-36,1,-36,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0
-1.75,-1.0,23.678711,1,1,-37,1,-37,0,0,0,0,0,0,0,0,3,5,5,5,0,0,1,0,0
-1.75,-1.0,23.560862,1,1,-38,1,-38,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0
-1.75,-1.0,23.483008,1,1,-39,1,-39,0,0,0,0,0,0,0,0,3,3,5,5,0,0,1,0,0
-1.75,-1.0,23.445626,1,1,-40,1,-40,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0
-1.75,-1.0,23.448995,1,1,-41,1,-41,0,0,0,0,0,0,0,0,5,5,7,5,0,0,1,0,0
-1.75,-1.0,23.493183,1,1,-42,1,-42,0,0,0,0,0,0,0,0,4,4,6,6,0,0,1,0,0
-1.75,-1.0,23.578053,1,1,-43,1,-43,0,0,0,0,0,0,0,0,5,3,5,7,0,0,1,0,0
-1.75,-1.0,23.703263,1,1,-44,1,-44,0,0,0,0,0,0,0,0,6,4,6,6,0,0,1,0,0
-1.75,-1.0,23.868276,1,1,-45,1,-45,0,0,0,0,0,0,0,0,7,5,5,7,0,0,1,0,0
-1.75,-1.0,24.072376,1,1,-46,1,-46,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
-1.75,-1.0,24.314682,1,1,-47,1,-47,0,0,0,0,0,0,0,0,7,5,5,7,0,0,1,0,0
-1.75,-1.0,24.594174,1,1,-48,1,-48,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
-1.75,-1.0,24.90971,1,1,-49,1,-49,0,0,0,0,0,0,0,0,5,3,5,7,0,0,1,0,0
-1.75,-1.0,25.260052,1,1,-50,1,-50,0,0,0,0,0,0,0,0,4,4,4,6,0,0,1,0,0
-1.75,-1.0,25.643888,1,1,-51,1,-51,0,0,0,0,0,0,0,0,3,5,5,7,0,0,1,0,0
-1.75,-1.0,26.059856,1,1,-52,1,-52,0,0,0,0,0,0,0,0,4,4,4,6,0,0,1,0,0
-1.75,-1.0,26.506561,1,1,-53,1,-53,0,0,0,0,0,0,0,0,5,3,5,7,0,0,1,0,0
-1.75,-1.0,26.982597,1,1,-54,1,-54,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
-1.75,-1.0,27.486564,1,1,-55,1,-55,0,0,0,0,0,0,0,0,5,5,3,7,0,0,1,0,0
-1.75,-1.0,28.017076,1,1,-56,1,-56,0,0,0,0,0,0,0,0,4,6,4,6,0,0,1,0,0
-1.75,-1.0,28.572781,1,1,-57,1,-57,0,0,0,0,0,0,0,0,5,5,3,5,0,0,1,0,0
-1.75,-1.0,29.152364,1,1,-58,1,-58,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
-1.75,-1.0,29.754557,1,1,-59,1,-59,0,0,0,0,0,0,0,0,5,7,3,3,0,0,1,0,0
